datasetName,compressed_size,model_size,opt_size,model_time,opt_time
CS-Sensors,151321,183965,183965,0.45480966567993164,8.648723363876343
Cyber-Vehicle,75675,85891,85891,0.17057490348815918,3.101398229598999
EPM-Education,594936,670652,670652,1.219412088394165,20.2977774143219
GW-Magnetic,325037,346053,346053,0.6818101406097412,13.308184385299683
Metro-Traffic,139351,141918,141918,0.23645496368408203,4.2125349044799805
Nifty-Stocks,50082,47891,47891,0.0764002799987793,1.4099540710449219
TH-Climate,146102,181550,181550,0.5760955810546875,11.443470239639282
TY-Fuel,624043,705629,705629,1.457468032836914,26.143296718597412
TY-Transport,240682,309182,309182,0.9159941673278809,17.414846181869507
USGS-Earthquakes,655847,768432,768432,1.1670780181884766,19.793264865875244
Vehicle-Charge,7912,8836,8836,0.015461444854736328,0.25733304023742676
YZ-Electricity,28041,29658,29658,0.052458763122558594,0.8542113304138184
